Sample ID,L. iners,L. crispatus,Atopobium,L. gasseri,Prevotella,Parvimonas,Sneathia,L. jensenii,Gardnerella,Peptoniphilus,Anaerococcus,Streptococcus,Corynebacterium,Ruminococcaceae.3,Mobiluncus,Aerococcus,Finegoldia,L.otu5,Megasphaera,L.reuteri,Bifidobacterium,L.otu4,Gemella,Ruminococcaceae.5,Peptostreptococcus,Lachnospiraceae.10,Lactobacillales.2,Staphylococcus,Lachnospiraceae.11,Moryella,Veillonella,Coriobacteriaceae.3,Escherichia.Shigella,Dialister,Shuttleworthia,Peptococcus,Ruminococcaceae.2,Allisonella,Lachnospiraceae.2,Porphyromonas,Proteobacteria.3,Ureaplasma,Campylobacter,Olsenella,Enterobacter,Solobacterium,Faecalibacterium,Blautia,Incertae_Sedis_XI.1,Incertae_Sedis_XI.2,Proteobacteria.2,Bulleidia,Bacteroides,Actinomyces,Massilia,L.otu3,Facklamia,Arthrobacter,Mollicutes.1,Coriobacteriaceae.1,Enterococcus,Salmonella,Citrobacter,L.vaginalis,Alloscardovia,Fusobacterium,Oscillibacter,Helcococcus,Brevibacterium,Clostridium,Enterobacteriaceae.3,Oligella,Fastidiosipila,Actinobaculum,Bacteroidetes.1,Gallicola,Collinsella,L.otu2,Anaeroglobus,Roseburia,Haemophilus,Propionimicrobium,Ruminococcaceae.1,Clostridiales.12,Varibaculum,Dorea,Subdoligranulum,Helcobacillus,Arcanobacterium,L.otu1,Pasteurella,Dermabacter,Propionibacteriaceae.2,Ruminococcus,Segniliparus,Balneimonas,Xylanibacter,Ralstonia,Microbacterium,Proteobacteria.6,Clostridiales.6,Providencia,Sporacetigenium,Clostridiales.1,Nosocomiicoccus,L.plantarum.L.coleohominis.L.mucosae,Bacteroidales.2,Alphaproteobacteria.3,Coprococcus,Bacillales.1,Alphaproteobacteria.5,Eubacterium,Blastococcus,Coprobacillus,Pseudomonas,Rhizobiales.1,Sutterella,Propionibacterium,Anaerovorax,Granulicatella,Klebsiella,Parabacteroides,Succinispira,Globicatella,Lachnospiraceae.7,Alistipes,Bacillus,Sphingomonas,Turicibacter,Acinetobacter,Hallella,Proteobacteria.1,Proteobacteria.5,Cupriavidus,Delftia,Burkholderia,Enterobacteriaceae.1,Micrococcus,Acidovorax,Gulosibacter,Propionibacteriaceae.1,Ruminococcaceae.7,Aurantimonas,Megamonas,Veillonellaceae.1,Clostridiales.3,Variovorax,Enhydrobacter,Weissella,Lactobacillales.1,Zimmermannella,Lachnospiraceae.4,Coriobacteriaceae.2,Bacteroidales.1,Cloacibacterium,Methylobacterium,Archaea.7,Ruminococcaceae.4,Lachnospiraceae.8,Firmicutes.1,Janibacter,Barnesiella,Rothia,Actinomycetales.1,Neisseria,Betaproteobacteria.1,Desulfovibrio,Bacteroidetes.2,Firmicutes.2,Lachnospiraceae.6,Peptostreptococcaceae.1,Mesorhizobium,Brachybacterium,Bacteria.15,Clostridiales.11,Clostridiales.17,Desulfocurvus,Eremococcus,Neisseriaceae.1,Phyllobacterium,Alcaligenes,Stenotrophomonas,Clostridiales.8,Bacteria.11,Acidaminococcus,Akkermansia,Lachnospiraceae.1,Pediococcus,Bacteria.17,Clostridiales.10,Clostridia.1,Paraprevotella,Bacteria.8,Bradyrhizobium,Lactococcus,Mogibacterium,Novosphingobium,Clostridiales.4,Clostridiales.15,Ruminococcaceae.6,Alphaproteobacteria.4,Leptotrichia,Odoribacter,Phascolarctobacterium,Bacteria.3,Pseudoramibacter,Streptophyta,Lactobacillales.3,Skermanella,Diaphorobacter,Jonquetella,Leuconostoc,Streptosporangiaceae.1,Parasutterella,Proteus,Porphyromonadaceae.2,Fusibacter,Hymenobacter,Kocuria,TM7_genera_incertae_sedis,Aquabacterium,Bacteria.12,Bacillaceae.2,Luteimonas,Ochrobactrum,Slackia,Firmicutes.3,Comamonas,Archaea.5,Morganella,Thermus,Bacteria.7,Clostridiales.5,Bacillariophyta,Clostridiales.2,Alphaproteobacteria.6,Archaea.6,Allofustis,Brevundimonas,Butyricimonas,Bacteria.14,Janthinobacterium,Archaea.2,Porphyromonadaceae.1,Paracoccus,Lachnospiraceae.3,Pelomonas,Pyramidobacter,Bacteria.18,Clostridiales.7,Bacteria.2,Thermaerobacter,Aeromonas,Aggregatibacter,Lachnospiraceae.5,Clostridiales.14,Bacteria.22,Frigoribacterium,Holdemania,Bacteria.9,Clostridiales.9,Nocardioides,Bacteria.16,Enterobacteriaceae.2,Proteobacteria.4,Sphingobium,Leptotrichiaceae.1,Archaea.3,Bacteria.23,Atopobacter,Rhizobiales.2,Lachnospiraceae.9,Alphaproteobacteria.2,Chryseobacterium,Bacteria.5,Bacteria.6,Flavobacteriaceae.1,Gp16,Alphaproteobacteria.1,Archaea.1,Methylibium,Nitrobacter,Bacteria.4,Clostridiales.13,Alcaligenaceae.1,Rhizobium,Rhodobacter,Schlegelella,Selenomonas,Neisseriaceae.2,Wautersiella,Xanthomonas,Arcobacter,Archaea.4,Myceligenerans,Mycobacterium,Nocardiopsis,Psychrobacter,Achromobacter,Bifidobacteriaceae.1,Bacteria.10,Anaerobacter,Atopostipes,Bacteria.19,Bacillaceae.1,Curtobacterium,Dechloromonas,Deinococcus,Bacteria.20,Dolosigranulum,Dyadobacter,Georgenia,Gp3,Helicobacter,Bacteria.21,Rhizobiales.3,Bacteria.13,Paenibacillus,Bifidobacteriaceae.2,Phycicoccus,Porphyrobacter,Clostridiales.16,Bacteria.1,Sphingomonadaceae.1,Streptomycetaceae.1,Archaea.8,Burkholderiales.1,Gammaproteobacteria.1,Truepera,Yersinia
400_010106,68.52,0,0,0,0.09,0,0,4,0,0.13,0.04,0,0.8,0,0,0,0.8,0.84,0,0,0,0,0,0,0,0,0.09,24.38,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_010506,87.45,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0.09,0,0,0,0,3.41,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_010806,95.24,0.04,0,0,0.04,0,0,0.57,0,0,0.04,0,0.04,0,0,0,0,0.27,0,0,0,0.08,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_011206,93.9,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0.04,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_011906,92.86,0.04,0,0.04,0,0,0,2.45,0,0,0,0,0.04,0,0,0,0,0.41,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_012206,98.95,0,0,0.04,0,0,0,0.22,0,0,0,0,0.07,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_012606,90.34,0,0,0.09,0,0,0,0.09,0,0,0,0,0.09,0,0,0,0,0.39,0,0,0,0,0,0,0,0,3.9,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_012906,0.44,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,36.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19,11.83,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,7.27,0,0,0,0,4.7,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_020206,94.3,0.04,0,0.08,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400_020506,97.28,0,0,0.13,0.04,0,0,1.1,0,0,0,0,0.08,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
